OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
d0ad8b8b41bc46299a3bfb67aa3fa8a0,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,NA,NA,NA
d0af77f05b5bd72409e46409882f47d1,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,NA,NA
d0b222891592e27b487745a1b91afcd6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
d0b91ff648466d6e3f77bf4bb33cde7c,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
d0bb06d4b607eabeb4bae73f93a786fb,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Wolinella,succinogenes
d0d777a11231aaad4dd16a483d9b5f7e,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
d0e6898fc668d6223032827fd09c27a1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
d0ecd93122ac4bf992f83d1aec15bc14,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,NA,NA
d0f3b2e934761a02456df652699c3be8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
d0f52abf21002737f15da9aa132d90c4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
d105e14aec71aadcae8024b05291660e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax,NA
d1101da57255558fb3a490a920010827,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,NA
d111e3c60dc08493eb22ad9f6ddac0b5,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
d1129e935a062c6db93f0418f80baeac,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
d1144d74229f993c449773b099b737f5,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
d11a02781dab15ac19f3233e1aed3bf5,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],NA,NA
d11c6c70859db304184adafe43cc0817,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
d12e88360ab55e91274d6377c8334d1d,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,animaloris
d12ea901c5107be9661555ca0172558f,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,NA
d130ebab49ca4622db80c4bf2229fcb2,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA
d13a072da65dbb275ee8e189fddcec5d,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,NA
d14327e6baef8491f32da985fa112d2e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
d144ce381e9778f8fbb81883cbba1b2d,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA
d14a0c95c9c13c39a52560bcee94d6d1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],NA
d14e15d76c059915924616c967d00964,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
d1534f5d865fe5ffccb62a030ee2e645,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sanguibacteraceae,Sanguibacter,NA
d154a7b80d551877927c482f9926fbb7,Bacteria,Acidobacteria,BPC102,MVS-40,NA,NA,NA
d159d83e5797a8b58763053e9a639a84,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Bergeyella,zoohelcum
d15a7b62847f47427b5f38b2924c1b41,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
d15dfe949c8693375969a853f43db6b6,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
d16048a0cc2b2932f30358ef3ef646fe,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA
d1611905080289a1e9f8316871ce8eb5,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,NA
d167366220c47291340b17bd27381437,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
d16968cce8689380a47df3f6fabd1f62,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Finegoldia,NA
d16cce778e6fec7ea44b8934b359b241,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,NA,NA
d17024e6a85dcf095d5f637a9267f081,Bacteria,GN02,BD1-5,NA,NA,NA,NA
d1706d2306bf29be1a306c80e383662b,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
d170c51b050d18573a66124d2e7861f1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
d1774c149ec78bec40dc77d7c473f4e0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
d1777d851aaff578682210fddfaac23d,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,NA,NA,NA
d17f9fb6f233b3b324d47f963eeff6b2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,plebeius
d184b19c0c40d48988d2b2887a16a5f4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,NA
d1876627138e451b02048bb725bf87d5,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,NA
d190e3cc1738a69b19fc0057001f5ac5,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
d1930b2c486af2eb50b2a737acf181a0,Bacteria,NA,NA,NA,NA,NA,NA
d19ea703b322b68083f1c605d5007831,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri
d1aabb5efc84fe2c81b0e970c56df8d3,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,NA
d1b11aa1c93f9b3682d37d889a59af46,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,lavalense
d1b45e852353bb4ffdb1eaf691f62b18,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri
d1bd7a58cd40e58578a447ab36c2bf00,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
d1bf246dbbcd5cdd02456daf2e47fa6f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
d1c05dd956ac8eebe521d59c3d60ec3f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
d1c4f8fade004a9719c552ff1645ee46,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,NA,NA
d1c79d42e362ec65ab241b24174d9c46,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,NA
d1ccefc0d9c0ff1b659ef185ef7af26a,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA
d1d3774f347fa50bdac453a7a31edc78,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,hiranonis
d1dc440e9738f4f372d2e2365e066999,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri
d1e3ab3c4983789d0b878fdd8d28b27b,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,luteciae
d1e505dada87b8235a4bce8a51d595f7,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
d1f85a934e2326bf3107b84083eb71f0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,viridiflava
d1fd07d809fb029d76121cd4fcb61188,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
d1fe3343478207a341ed6d9513608ce9,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
d201ac5d3b6fda47db6e1b8024f17d90,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
d20b693f44951557b3ee8bd56224f1f9,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
d20e30357c855cb25f5660d1474c3006,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],gnavus
d216c5e0e030336ec5b476f9d318b5df,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,NA
d21ef633191e2645cb1eebff6de4ea7b,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA
d221251c68c06f64b7fc9913b732441a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
d22410d838d0dee20227faa30aa064eb,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,NA
d2306cf564cdf6da9c1385441ee6cf72,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
d23c9e03a326d783cfdea2d83647a7e6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
d23dc4dd28b9ac85f16e7f3dd22d5fe9,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,hiranonis
d23ef87b3c44c3b378eae52d364d4a44,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA,NA
d2403a7093e8b32fbc9779c4e2c7e5c6,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA
